,Languages,Code
0,Afrikaans,af
1,Albanian,sq
2,Amharic,am
3,Arabic,ar
4,Armenian,hy
5,Azerbaijani,az
6,Basque,eu
7,Belarusian,be
8,Bengali,bn
9,Bosnian,bs
10,Bulgarian,bg
11,Catalan,ca
12,Cebuano,ceb
13,Chinese (Simplified),zh
14,Chinese (Traditional),zh-TW
15,Corsican,co
16,Croatian,hr
17,Czech,cs
18,Danish,da
19,Dutch,nl
20,English,en
21,Esperanto,eo
22,Estonian,et
23,Finnish,fi
24,French,fr
25,Frisian,fy
26,Galician,gl
27,Georgian,ka
28,German,de
29,Greek,el
30,Gujarati,gu
31,Haitian Creole,ht
32,Hausa,ha
33,Hawaiian,haw
34,Hebrew,iw
35,Hindi,hi
36,Hmong,hmn
37,Hungarian,hu
38,Icelandic,is
39,Igbo,ig
40,Indonesian,id
41,Irish,ga
42,Italian,it
43,Japanese,ja
44,Javanese,jv
45,Kannada,kn
46,Kazakh,kk
47,Khmer,km
48,Kinyarwanda,rw
49,Korean,ko
50,Kurdish,ku
51,Kyrgyz,ky
52,Lao,lo
53,Latin,la
54,Latvian,lv
55,Lithuanian,lt
56,Luxembourgish,lb
57,Macedonian,mk
58,Malagasy,mg
59,Malay,ms
60,Malayalam,ml
61,Maltese,mt
62,Maori,mi
63,Marathi,mr
64,Mongolian,mn
65,Myanmar (Burmese),my
66,Nepali,ne
67,Norwegian,no
68,Nyanja (Chichewa),ny
69,Odia (Oriya),or
70,Pashto,ps
71,Persian,fa
72,Polish,pl
73,"Portuguese (Portugal, Brazil)",pt
74,Punjabi,pa
75,Romanian,ro
76,Russian,ru
77,Samoan,sm
78,Scots Gaelic,gd
79,Serbian,sr
80,Sesotho,st
81,Shona,sn
82,Sindhi,sd
83,Sinhala (Sinhalese),si
84,Slovak,sk
85,Slovenian,sl
86,Somali,so
87,Spanish,es
88,Sundanese,su
89,Swahili,sw
90,Swedish,sv
91,Tagalog (Filipino),tl
92,Tajik,tg
93,Tamil,ta
94,Tatar,tt
95,Telugu,te
96,Thai,th
97,Turkish,tr
98,Turkmen,tk
99,Ukrainian,uk
100,Urdu,ur
101,Uyghur,ug
102,Uzbek,uz
103,Vietnamese,vi
104,Welsh,cy
105,Xhosa,xh
106,Yiddish,yi
107,Yoruba,yo
108,Zulu,zu
